x,y,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,ID,HEATING_DEGREE_DAYS,LOCAL_DATE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,PROVINCE_CODE
-120.8333333,56.25,18,1182998,FORT ST JOHN,,,,0,,0,,,0,,15,,1910,9.2,,,3,,,3.3,,,1182998.1910.3.18,8.8,1910-03-18 0:00,,,,0,,BC
-120.8333333,56.25,19,1182998,FORT ST JOHN,,,,0,,0,,,0,,14.4,,1910,5.3,,,3,,,-3.9,,,1182998.1910.3.19,12.7,1910-03-19 0:00,,,,0,,BC
-120.8333333,56.25,20,1182998,FORT ST JOHN,,,,0,,0,,,0,,13.3,,1910,5,,,3,,,-3.3,,,1182998.1910.3.20,13,1910-03-20 0:00,,,,0,,BC
-120.8333333,56.25,21,1182998,FORT ST JOHN,,,,0,,0,,,0,,17.2,,1910,5.8,,,3,,,-5.6,,,1182998.1910.3.21,12.2,1910-03-21 0:00,,,,0,,BC
-120.8333333,56.25,22,1182998,FORT ST JOHN,,,,0.8,,0,,,0.8,,17.2,,1910,8.6,,,3,,,0,,,1182998.1910.3.22,9.4,1910-03-22 0:00,,,,0,,BC
-120.8333333,56.25,23,1182998,FORT ST JOHN,,,,0,,11.4,,,11.4,,10.6,,1910,4.8,,,3,,,-1.1,,,1182998.1910.3.23,13.2,1910-03-23 0:00,,,,0,,BC
-120.8333333,56.25,24,1182998,FORT ST JOHN,,,,0,,0,,,0,,5,,1910,-3.1,,,3,,,-11.1,,,1182998.1910.3.24,21.1,1910-03-24 0:00,,,,0,,BC
-120.8333333,56.25,25,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.3,,1910,5.3,,,3,,,2.2,,,1182998.1910.3.25,12.7,1910-03-25 0:00,,,,0,,BC
-120.8333333,56.25,26,1182998,FORT ST JOHN,,,,0,,0,,,0,,11.1,,1910,4.7,,,3,,,-1.7,,,1182998.1910.3.26,13.3,1910-03-26 0:00,,,,0,,BC
-120.8333333,56.25,27,1182998,FORT ST JOHN,,,,0,,0,,,0,,10,,1910,4.5,,,3,,,-1.1,,,1182998.1910.3.27,13.5,1910-03-27 0:00,,,,0,,BC
