x,y,TOTAL_RAIN,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-119.60222222222222,49.463055555555556,5.3,,,,17,,,1126150,8.3,1941,,1941-05-17 00:00:00,,5,,13.1,,,,17.8,5.3,,0,,,,,1126150.1941.5.17,,0,BC,,4.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,18,,,1126150,3.3,1941,,1941-05-18 00:00:00,,5,,9.7,,,,16.1,0,,0,,,,,1126150.1941.5.18,,0,BC,,8.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,19,,,1126150,1.7,1941,,1941-05-19 00:00:00,,5,,9.2,,,,16.7,0,,0,,,,,1126150.1941.5.19,,0,BC,,8.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,20,,,1126150,8.9,1941,,1941-05-20 00:00:00,,5,,15.3,,,,21.7,0,,0,,,,,1126150.1941.5.20,,0,BC,,2.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,21,,,1126150,5,1941,,1941-05-21 00:00:00,,5,,12.5,,,,20,0,,0,,,,,1126150.1941.5.21,,0,BC,,5.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,22,,,1126150,2.8,1941,,1941-05-22 00:00:00,,5,,11.7,,,,20.6,0,,0,,,,,1126150.1941.5.22,,0,BC,,6.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,23,,,1126150,3.3,1941,,1941-05-23 00:00:00,,5,,17,,,,30.6,0,,0,,,,,1126150.1941.5.23,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,24,,,1126150,10.6,1941,,1941-05-24 00:00:00,,5,,17.8,,,,25,0,,0,,,,,1126150.1941.5.24,,0,BC,,0.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,25,,,1126150,8.3,1941,,1941-05-25 00:00:00,,5,,16.1,,,,23.9,0,,0,,,,,1126150.1941.5.25,,0,BC,,1.9,PENTICTON A
-119.60222222222222,49.463055555555556,2.3,,,,26,,,1126150,12.2,1941,,1941-05-26 00:00:00,,5,,16.7,,,,21.1,2.3,,0,,,,,1126150.1941.5.26,,0,BC,,1.3,PENTICTON A
