Element,Item,Year,Unit,Value,Flag,Flag Description
Area harvested,Maize (corn),1982,ha,1109000,A,Official figure
Yield,Maize (corn),1982,100 g/ha,58812,A,Official figure
Production,Maize (corn),1982,t,6522300,A,Official figure
Area harvested,Maize (corn),1983,ha,1074900,A,Official figure
Yield,Maize (corn),1983,100 g/ha,55177,A,Official figure
Production,Maize (corn),1983,t,5931000,A,Official figure
Area harvested,Maize (corn),1984,ha,1149300,A,Official figure
Yield,Maize (corn),1984,100 g/ha,58971,A,Official figure
Production,Maize (corn),1984,t,6777500,A,Official figure
Area harvested,Maize (corn),1985,ha,1123400,A,Official figure
Yield,Maize (corn),1985,100 g/ha,62043,A,Official figure
Production,Maize (corn),1985,t,6969900,A,Official figure
Area harvested,Maize (corn),1986,ha,993800,A,Official figure
Yield,Maize (corn),1986,100 g/ha,59484,A,Official figure
Production,Maize (corn),1986,t,5911500,A,Official figure
Area harvested,Maize (corn),1987,ha,999300,A,Official figure
Yield,Maize (corn),1987,100 g/ha,70197,A,Official figure
Production,Maize (corn),1987,t,7014800,A,Official figure
Area harvested,Maize (corn),1988,ha,981400,A,Official figure
Yield,Maize (corn),1988,100 g/ha,54710,A,Official figure
Production,Maize (corn),1988,t,5369200,A,Official figure
Area harvested,Maize (corn),1989,ha,1034600,A,Official figure
Yield,Maize (corn),1989,100 g/ha,63512,A,Official figure
Production,Maize (corn),1989,t,6571000,A,Official figure
Area harvested,Maize (corn),1990,ha,1030000,A,Official figure
Yield,Maize (corn),1990,100 g/ha,68602,A,Official figure
Production,Maize (corn),1990,t,7066000,A,Official figure
Area harvested,Maize (corn),1991,ha,1104800,A,Official figure
Yield,Maize (corn),1991,100 g/ha,67098,A,Official figure
Production,Maize (corn),1991,t,7413000,A,Official figure
Area harvested,Maize (corn),1992,ha,857700,A,Official figure
Yield,Maize (corn),1992,100 g/ha,56927,A,Official figure
Production,Maize (corn),1992,t,4882600,A,Official figure
Area harvested,Maize (corn),1993,ha,1012000,A,Official figure
Yield,Maize (corn),1993,100 g/ha,64241,A,Official figure
Production,Maize (corn),1993,t,6501200,A,Official figure
Area harvested,Maize (corn),1994,ha,955000,A,Official figure
Yield,Maize (corn),1994,100 g/ha,73748,A,Official figure
Production,Maize (corn),1994,t,7042900,A,Official figure
Area harvested,Maize (corn),1995,ha,1002500,A,Official figure
