x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,MAX_TEMPERATURE,MEAN_TEMPERATURE,SNOW_ON_GROUND,MIN_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,TOTAL_RAIN,LOCAL_MONTH,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,PROVINCE_CODE,MIN_TEMPERATURE,LOCAL_DAY,ID,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG
-122.59694444444445,58.83638888888889,,8.9,,1192946,0,17.8,9.1,,27,2020-05-06 00:00:00,FORT NELSON A,,,,,99,0,5,33,,2020,BC,0.4,6,1192946.2020.5.6,29,,0,0,,,,,
-122.59694444444445,58.83638888888889,,6.4,,1192946,0,19,11.6,,29,2020-05-07 00:00:00,FORT NELSON A,,,,,84,0.3,5,45,,2020,BC,4.2,7,1192946.2020.5.7,31,,0.3,0,,,,,
-122.59694444444445,58.83638888888889,M,,M,1192946,,,,,,2020-05-08 00:00:00,FORT NELSON A,M,M,,,,,5,,M,2020,BC,,8,1192946.2020.5.8,,M,,,M,M,M,M,M
-122.59694444444445,58.83638888888889,,8.9,,1192946,,12.9,9.1,,29,2020-05-09 00:00:00,FORT NELSON A,,,,,57,,5,31,,2020,BC,5.2,9,1192946.2020.5.9,10,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,12.1,,1192946,,13.6,5.9,,28,2020-05-10 00:00:00,FORT NELSON A,,,,,82,,5,,,2020,BC,-1.8,10,1192946.2020.5.10,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,8.3,,1192946,,18,9.7,,18,2020-05-11 00:00:00,FORT NELSON A,,,,,60,,5,,,2020,BC,1.4,11,1192946.2020.5.11,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,7.4,,1192946,,20.6,10.6,,19,2020-05-12 00:00:00,FORT NELSON A,,,,,67,,5,33,,2020,BC,0.5,12,1192946.2020.5.12,2,,,0,M,,M,,
-122.59694444444445,58.83638888888889,M,,M,1192946,,,,,,2020-05-13 00:00:00,FORT NELSON A,M,M,,,,,5,,,2020,BC,,13,1192946.2020.5.13,,M,,,M,,M,M,M
-122.59694444444445,58.83638888888889,,16.8,,1192946,,5.9,1.2,,35,2020-05-14 00:00:00,FORT NELSON A,,,,,81,,5,,,2020,BC,-3.5,14,1192946.2020.5.14,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,11.3,,1192946,,15.2,6.7,,28,2020-05-15 00:00:00,FORT NELSON A,,,,,87,,5,,,2020,BC,-1.9,15,1192946.2020.5.15,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,10.2,,1192946,,12.8,7.8,,43,2020-05-16 00:00:00,FORT NELSON A,,,,,94,,5,44,,2020,BC,2.7,16,1192946.2020.5.16,33,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,14.6,,1192946,,6.6,3.4,,70,2020-05-17 00:00:00,FORT NELSON A,,,,,98,,5,,,2020,BC,0.1,17,1192946.2020.5.17,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,14.9,,1192946,,5.8,3.1,,77,2020-05-18 00:00:00,FORT NELSON A,,,,,95,,5,,,2020,BC,0.4,18,1192946.2020.5.18,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,9.9,,1192946,,14.1,8.1,,58,2020-05-19 00:00:00,FORT NELSON A,,,,,96,,5,,,2020,BC,2.1,19,1192946.2020.5.19,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,11.9,,1192946,,7.5,6.1,,88,2020-05-20 00:00:00,FORT NELSON A,,,,,94,,5,,,2020,BC,4.6,20,1192946.2020.5.20,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,13.7,,1192946,,5.5,4.3,,91,2020-05-21 00:00:00,FORT NELSON A,,,,,95,,5,,,2020,BC,3.1,21,1192946.2020.5.21,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,6.9,,1192946,,16.9,11.1,,45,2020-05-22 00:00:00,FORT NELSON A,,,,,95,,5,,,2020,BC,5.2,22,1192946.2020.5.22,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,4.6,,1192946,,21.7,13.4,,30,2020-05-23 00:00:00,FORT NELSON A,,,,,95,,5,,,2020,BC,5.1,23,1192946.2020.5.23,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.4,,1192946,,21.1,12.6,,34,2020-05-24 00:00:00,FORT NELSON A,,,,,96,,5,,,2020,BC,4,24,1192946.2020.5.24,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.2,,1192946,,18.2,12.8,,32,2020-05-25 00:00:00,FORT NELSON A,,,,,98,,5,42,,2020,BC,7.3,25,1192946.2020.5.25,24,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,4.5,,1192946,,18.8,13.5,,26,2020-05-26 00:00:00,FORT NELSON A,,,,,91,,5,37,,2020,BC,8.1,26,1192946.2020.5.26,30,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.1,,1192946,,18.8,12.9,,34,2020-05-27 00:00:00,FORT NELSON A,,,,,87,,5,,,2020,BC,7,27,1192946.2020.5.27,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.4,,1192946,,19.9,12.6,,37,2020-05-28 00:00:00,FORT NELSON A,,,,,89,,5,,,2020,BC,5.3,28,1192946.2020.5.28,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,2.2,,1192946,,21.6,15.8,,28,2020-05-29 00:00:00,FORT NELSON A,,,,,80,,5,,,2020,BC,10,29,1192946.2020.5.29,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,4.7,,1192946,,16.9,13.3,,30,2020-05-30 00:00:00,FORT NELSON A,,,,,97,,5,,,2020,BC,9.6,30,1192946.2020.5.30,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,8.8,,1192946,,10.6,9.2,,77,2020-05-31 00:00:00,FORT NELSON A,,,,,98,,5,,,2020,BC,7.8,31,1192946.2020.5.31,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,7.1,,1192946,,18.4,10.9,,28,2020-06-01 00:00:00,FORT NELSON A,,,,,95,,6,37,,2020,BC,3.3,1,1192946.2020.6.1,30,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,4.7,,1192946,,18.7,13.3,,32,2020-06-02 00:00:00,FORT NELSON A,,,,,78,,6,,,2020,BC,7.8,2,1192946.2020.6.2,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.7,,1192946,,18.4,12.3,,29,2020-06-03 00:00:00,FORT NELSON A,,,,,86,,6,,,2020,BC,6.1,3,1192946.2020.6.3,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,6.2,,1192946,,17.9,11.8,,37,2020-06-04 00:00:00,FORT NELSON A,,,,,89,,6,37,,2020,BC,5.6,4,1192946.2020.6.4,24,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,7.5,,1192946,,18.2,10.5,,43,2020-06-05 00:00:00,FORT NELSON A,,,,,94,,6,33,,2020,BC,2.8,5,1192946.2020.6.5,3,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5,,1192946,,17.5,13,,59,2020-06-06 00:00:00,FORT NELSON A,,,,,91,,6,,,2020,BC,8.4,6,1192946.2020.6.6,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,6,,1192946,,15.1,12,,64,2020-06-07 00:00:00,FORT NELSON A,,,,,97,,6,,,2020,BC,8.8,7,1192946.2020.6.7,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,9.2,,1192946,,11.4,8.8,,78,2020-06-08 00:00:00,FORT NELSON A,,,,,98,,6,,,2020,BC,6.2,8,1192946.2020.6.8,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,5.7,,1192946,,17.8,12.3,,52,2020-06-09 00:00:00,FORT NELSON A,,,,,98,,6,,,2020,BC,6.7,9,1192946.2020.6.9,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,4.1,,1192946,,21.8,13.9,,36,2020-06-10 00:00:00,FORT NELSON A,,,,,92,,6,,,2020,BC,6,10,1192946.2020.6.10,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,2.2,,1192946,,24.1,15.8,,31,2020-06-11 00:00:00,FORT NELSON A,,,,,90,,6,,,2020,BC,7.5,11,1192946.2020.6.11,,,,0,M,,M,,
-122.59694444444445,58.83638888888889,,2.9,,1192946,,20.1,15.1,,63,2020-06-12 00:00:00,FORT NELSON A,,,,,98,,6,,,2020,BC,10.1,12,1192946.2020.6.12,,,,0,M,,M,,
