"diffw90","year","month","yrmon"
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,2,193902
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
4.5,1939,3,193903
5.6,1939,3,193903
1.09,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,3,193903
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
1.7,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0.5,1939,4,193904
6.09,1939,4,193904
0,1939,4,193904
0,1939,4,193904
1,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,4,193904
1.99,1939,4,193904
3.3,1939,4,193904
0,1939,4,193904
0,1939,4,193904
0,1939,5,193905
0.5,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
2.3,1939,5,193905
4.5,1939,5,193905
4.5,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,5,193905
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,6,193906
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,7,193907
0,1939,8,193908
0,1939,8,193908
2.8,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
2.2,1939,8,193908
0.97,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,8,193908
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,9,193909
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
1,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,10,193910
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
2.2,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
1.4,1939,11,193911
1.6,1939,11,193911
1.7,1939,11,193911
3.3,1939,11,193911
4,1939,11,193911
0,1939,11,193911
2.99,1939,11,193911
0,1939,11,193911
0,1939,11,193911
0,1939,11,193911
2.2,1939,11,193911
1.1,1939,12,193912
2.29,1939,12,193912
1.97,1939,12,193912
3.3,1939,12,193912
2.7,1939,12,193912
0,1939,12,193912
2.7,1939,12,193912
2.7,1939,12,193912
0,1939,12,193912
1.6,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0.6,1939,12,193912
1.7,1939,12,193912
1.2,1939,12,193912
0.1,1939,12,193912
0,1939,12,193912
1.58,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0,1939,12,193912
0,1939,12,193912
