"avgexc","nexc","year","month"
1.656,5,1993,9
1.22,4,1993,10
0,0,1993,11
1.057,3,1993,12
1.182,8,1994,1
0,0,1994,2
1.526,7,1994,3
1.34,7,1994,4
2.091,7,1994,5
1.1,1,1994,6
1.751,7,1994,7
1,2,1994,8
0.195,2,1994,9
0.6,3,1994,10
1.2,1,1994,11
0.852,5,1994,12
1.609,7,1995,1
0.997,3,1995,2
1.878,6,1995,3
1.036,5,1995,4
1.081,7,1995,5
2.95,6,1995,6
1.24,2,1995,7
0.49,1,1995,8
2.154,5,1995,9
1.7,1,1995,10
1.783,14,1995,11
0.764,7,1995,12
1.107,9,1996,1
2.097,3,1996,2
0.87,4,1996,3
2.478,5,1996,4
0,0,1996,5
1,1,1996,6
1.454,5,1996,7
2.39,1,1996,8
0,0,1996,9
2.7,1,1996,10
1.322,4,1996,11
0,0,1996,12
1.467,3,1997,1
0.663,3,1997,2
2.8,1,1997,3
1.138,5,1997,4
2.734,8,1997,5
0.7,1,1997,6
1.5,2,1997,7
0.946,5,1997,8
1.493,3,1997,9
0.875,4,1997,10
1.163,6,1997,11
1.08,5,1997,12
0.794,8,1998,1
1.862,6,1998,2
1.738,5,1998,3
1,3,1998,4
1.732,5,1998,5
1.293,3,1998,6
2.973,6,1998,7
0.645,8,1998,8
2.212,6,1998,9
1.345,4,1998,10
1.25,2,1998,11
2.12,4,1998,12
0.533,3,1999,1
0.6,1,1999,2
0.69,1,1999,3
2.572,4,1999,4
4.7,1,1999,5
2.55,2,1999,6
0.65,2,1999,7
0.595,2,1999,8
1.697,3,1999,9
0.4,1,1999,10
0.64,5,1999,11
1.397,3,1999,12
0.29,1,2000,1
0.32,4,2000,2
0.1,1,2000,3
0.938,5,2000,4
1.4,1,2000,5
2.35,2,2000,6
0,0,2000,7
0.89,1,2000,8
1.357,3,2000,9
0.427,3,2000,10
0,0,2000,11
0.39,1,2000,12
1.042,6,2001,1
0,0,2001,2
0.2,1,2001,3
0.697,3,2001,4
0.2,1,2001,5
1.05,2,2001,6
1.245,2,2001,7
0.3,1,2001,8
0,0,2001,9
2.3,1,2001,10
1.584,7,2001,11
0.1,1,2001,12
1.539,7,2002,1
0,0,2002,2
0.5,1,2002,3
0,0,2002,4
0,0,2002,5
3.14,5,2002,6
1.923,3,2002,7
0.997,4,2002,8
0.9,4,2002,9
0,0,2002,10
1.714,7,2002,11
1.447,4,2002,12
1.777,12,2003,1
0,0,2003,2
0.516,5,2003,3
0.85,2,2003,4
0,0,2003,5
2.37,6,2003,6
1.367,7,2003,7
0.733,3,2003,8
2.794,5,2003,9
1.639,7,2003,10
0.4,1,2003,11
0.663,3,2003,12
0.833,3,2004,1
0.64,2,2004,2
1.767,7,2004,3
1.952,11,2004,4
1.922,4,2004,5
2.871,9,2004,6
1.971,9,2004,7
1.291,8,2004,8
0,0,2004,9
0,0,2004,10
1.367,3,2004,11
1.7,2,2004,12
2.009,11,2005,1
1.967,4,2005,2
1.222,11,2005,3
1.474,9,2005,4
1.845,6,2005,5
0.1,1,2005,6
1.693,3,2005,7
1.354,7,2005,8
0,0,2005,9
1.333,3,2005,10
0,0,2005,11
2.342,9,2005,12
1.178,6,2006,1
0.1,1,2006,2
1.495,2,2006,3
1.1,2,2006,4
2.997,4,2006,5
1.32,5,2006,6
1.491,7,2006,7
1.3,1,2006,8
0.908,5,2006,9
0,0,2006,10
1.274,5,2006,11
0.845,2,2006,12
1.795,2,2007,1
0.747,4,2007,2
1.53,3,2007,3
0.88,1,2007,4
1.196,5,2007,5
2.333,3,2007,6
1.898,4,2007,7
1.398,4,2007,8
0,0,2007,9
1,1,2007,10
0.5,1,2007,11
2.285,2,2007,12
0.36,3,2008,1
1.097,3,2008,2
0,0,2008,3
3.4,1,2008,4
4.327,3,2008,5
1.733,3,2008,6
0.73,3,2008,7
1.452,5,2008,8
2.45,2,2008,9
2.68,1,2008,10
0.875,8,2008,11
0,0,2008,12
0,0,2009,1
0.25,2,2009,2
1.25,2,2009,3
1.95,2,2009,4
2.267,3,2009,5
1.888,8,2009,6
3.499,10,2009,7
0.698,5,2009,8
2.613,6,2009,9
0.5,2,2009,10
0.4,3,2009,11
0.3,1,2009,12
1.912,12,2010,1
0.869,8,2010,2
1.365,6,2010,3
1.942,4,2010,4
0.69,2,2010,5
0,0,2010,6
2.342,4,2010,7
2.178,6,2010,8
1.417,3,2010,9
1.02,4,2010,10
0.97,4,2010,11
1.29,1,2010,12
1.497,7,2011,1
2.3,1,2011,2
0.24,2,2011,3
0,0,2011,4
0,0,2011,5
0,0,2011,6
1.185,2,2011,7
1.897,3,2011,8
1.529,9,2011,9
0,0,2011,10
1.2,2,2011,11
1.55,2,2011,12
0.695,4,2012,1
1.49,1,2012,2
0.8,1,2012,3
1.3,1,2012,4
1.99,1,2012,5
0,0,2012,6
0.35,3,2012,7
1.106,7,2012,8
0.658,5,2012,9
0.78,1,2012,10
0.863,3,2012,11
1.4,1,2012,12
0,0,2013,1
0,0,2013,2
1.195,2,2013,3
1.3,1,2013,4
2.15,5,2013,5
3.75,2,2013,6
2.49,2,2013,7
0,0,2013,8
1.45,2,2013,9
2.9,1,2013,10
1.45,2,2013,11
0.7,1,2013,12
1.9,1,2014,1
1.3,1,2014,2
0,0,2014,3
1.13,3,2014,4
1.8,6,2014,5
0,0,2014,6
2.236,5,2014,7
1.093,3,2014,8
1.212,5,2014,9
1.94,7,2014,10
2.147,4,2014,11
2.315,6,2014,12
1.745,8,2015,1
1.322,8,2015,2
2.297,9,2015,3
0.995,2,2015,4
1.093,6,2015,5
1.498,11,2015,6
1.004,9,2015,7
0.995,2,2015,8
0,0,2015,9
0.654,5,2015,10
0.9,1,2015,11
1.223,7,2015,12
1.337,4,2016,1
1.595,4,2016,2
1.847,6,2016,3
2.487,11,2016,4
2.014,10,2016,5
1.216,5,2016,6
0,0,2016,7
1.667,3,2016,8
0,0,2016,9
1.5,2,2016,10
1.657,12,2016,11
0,0,2016,12
0.59,2,2017,1
0.945,2,2017,2
1.29,1,2017,3
0,0,2017,4
1.415,6,2017,5
1.445,4,2017,6
0.09,1,2017,7
2.056,5,2017,8
2.283,7,2017,9
0.8,1,2017,10
2.236,5,2017,11
0,0,2017,12
0.663,3,2018,1
1.3,1,2018,2
0,0,2018,3
0.52,3,2018,4
2.219,8,2018,5
1.435,4,2018,6
1.187,10,2018,7
2.174,5,2018,8
3.89,1,2018,9
1.8,1,2018,10
1.256,5,2018,11
1.963,3,2018,12
0.854,5,2019,1
0,0,2019,2
1.486,8,2019,3
0.833,3,2019,4
2.312,5,2019,5
2.408,5,2019,6
1.812,4,2019,7
1.193,3,2019,8
2.545,2,2019,9
0,0,2019,10
0.725,4,2019,11
0.4,1,2019,12
1.034,8,2020,1
0.09,1,2020,2
0,0,2020,3
0.57,4,2020,4
2.574,5,2020,5
0.2,1,2020,6
0.927,3,2020,7
1.89,4,2020,8
1.072,4,2020,9
0.2,2,2020,10
1.448,4,2020,11
